table,domain,index,columns,kind,size_bytes,scans,flags
code_blue_audits,Other,code_blue_audits_hospital_id_event_id_idx,hospital_id event_id,INDEX,8192,105,none
code_blue_audits,Other,code_blue_audits_pkey,id,PK,8192,0,none
code_blue_events,Other,code_blue_events_hospital_id_event_datetime_idx,hospital_id event_datetime,INDEX,8192,230,none
code_blue_events,Other,code_blue_events_pkey,id,PK,8192,0,none
coding_audits,Other,coding_audits_pkey,id,PK,8192,0,none
cold_chain_log,Vaccination,cold_chain_log_pkey,id,PK,8192,0,none
cold_chain_log,Vaccination,idx_cold_chain_log_hospital,hospital_id recorded_at,INDEX,8192,108,none
cold_storage_log,Other,cold_storage_log_pkey,id,PK,8192,0,none
cold_storage_log,Other,idx_cold_storage_hospital,hospital_id,INDEX,8192,0,ZERO scans since stats reset
cold_storage_log,Other,idx_cold_storage_unit,hospital_id unit_name,INDEX,8192,107,none
collection_campaigns,Other,collection_campaigns_pkey,id,PK,8192,0,none
committee_action_items,Quality/NABH,committee_action_items_pkey,id,PK,8192,0,none
committee_action_items,Quality/NABH,idx_committee_actions_meeting,meeting_id,INDEX,8192,0,ZERO scans since stats reset
committee_action_items,Quality/NABH,idx_committee_actions_status,status,INDEX,8192,0,ZERO scans since stats reset
committee_meetings,Quality/NABH,committee_meetings_pkey,id,PK,8192,0,none
committee_meetings,Quality/NABH,idx_committee_meetings_committee,committee_id meeting_date,INDEX,8192,0,ZERO scans since stats reset
committee_members,Quality/NABH,committee_members_pkey,id,PK,8192,0,none
committee_members,Quality/NABH,idx_committee_members_committee,committee_id,INDEX,8192,0,ZERO scans since stats reset
config_change_logs,Other,config_change_logs_pkey,id,PK,8192,0,none
config_change_logs,Other,idx_config_change_logs_area,hospital_id config_area changed_at,INDEX,8192,157,none
config_change_logs,Other,idx_config_change_logs_hospital,hospital_id changed_at,INDEX,8192,116,none
consent_form_templates,Audit/Compliance,consent_form_templates_pkey,id,PK,16384,3,none
consent_form_templates,Audit/Compliance,idx_consent_templates_hospital,hospital_id is_active,INDEX,16384,139,none
consent_templates,Audit/Compliance,consent_templates_pkey,id,PK,8192,0,none
corporate_accounts,Insurance,corporate_accounts_pkey,id,PK,8192,0,none
